= 2018-05-23 08:52:14,090 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:52:48,758 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:52:49,037 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:52:55,771 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:52:59,706 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:53:24,758 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:53:55,834 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:56:20,386 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:58:51,204 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:27:28,590 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:30:31,841 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:31:23,292 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:32:19,893 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:32:28,589 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:34:09,614 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:34:21,567 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:40:26,401 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:41:41,311 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:42:07,351 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 19:48:25,652 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 20:12:21,266 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 20:13:42,422 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 20:14:52,248 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 20:20:58,995 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 20:26:34,337 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 20:26:47,507 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
